Outcome,Model,Evaluation_weighting,Axis,Group,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,LR,WTFA_A,Race_ethnicity,NH Black,Calibration_abs_error,0.02531141091161862,0.005905718880023958,0.043923400230496186,400,400
MEDNG,LR,Unweighted,Poverty,<100% FPL,AUROC,0.7022183954619126,0.6373872425556597,0.7627955027316486,400,400
MEDNG,LR,Unweighted,Poverty,<100% FPL,AUPRC,0.29081489828916063,0.21200300472228395,0.38709339968364187,400,400
MEDNG,LR,Unweighted,Poverty,<100% FPL,Recall,0.4625,0.36470588235294116,0.5625679347826086,400,400
MEDNG,LR,Unweighted,Poverty,<100% FPL,FNR,0.5375,0.4374320652173913,0.6352941176470588,400,400
MEDNG,LR,Unweighted,Poverty,<100% FPL,FPR,0.1507293354943274,0.12400278293135436,0.17543174841150852,400,400
MEDNG,LR,Unweighted,Poverty,<100% FPL,Brier,0.09447436596534341,0.07777588828871462,0.11231294085433757,400,400
MEDNG,LR,Unweighted,Poverty,<100% FPL,Calibration_abs_error,0.01946654908124279,0.0013834533601752475,0.04142767577918714,400,400
MEDNG,LR,WTFA_A,Poverty,<100% FPL,AUROC,0.7324062957294626,0.6512189854750798,0.8008661498392505,400,400
MEDNG,LR,WTFA_A,Poverty,<100% FPL,AUPRC,0.3138111367413718,0.2120908724102157,0.4697146651080189,400,400
MEDNG,LR,WTFA_A,Poverty,<100% FPL,Recall,0.5637515516183365,0.43216750864196324,0.6785970904178824,400,400
MEDNG,LR,WTFA_A,Poverty,<100% FPL,FNR,0.43624844838166366,0.32140290958211754,0.5678324913580368,400,400
MEDNG,LR,WTFA_A,Poverty,<100% FPL,FPR,0.16735431038898235,0.1329072772624576,0.20748417784211773,400,400
MEDNG,LR,WTFA_A,Poverty,<100% FPL,Brier,0.09092158360177273,0.0722205404193047,0.10798235965372505,400,400
MEDNG,LR,WTFA_A,Poverty,<100% FPL,Calibration_abs_error,0.008547890451201343,0.00029934358669827035,0.03232868649811265,400,400
MEDNG,LR,Unweighted,Poverty,100-199% FPL,AUROC,0.7796782049746477,0.737949348653223,0.8230296631147593,400,400
MEDNG,LR,Unweighted,Poverty,100-199% FPL,AUPRC,0.346944171179613,0.27504102603237107,0.4297612319371156,400,400
MEDNG,LR,Unweighted,Poverty,100-199% FPL,Recall,0.5371900826446281,0.4562474504364853,0.6283873184981527,400,400
MEDNG,LR,Unweighted,Poverty,100-199% FPL,FNR,0.4628099173553719,0.3716126815018473,0.5437525495635146,400,400
MEDNG,LR,Unweighted,Poverty,100-199% FPL,FPR,0.16135265700483092,0.13814249829923073,0.1828226679090458,400,400
MEDNG,LR,Unweighted,Poverty,100-199% FPL,Brier,0.08192938826402298,0.07049389537579641,0.09403654262598055,400,400
MEDNG,LR,Unweighted,Poverty,100-199% FPL,Calibration_abs_error,0.005190734776894315,0.00041280931006572986,0.021352670524617742,400,400
MEDNG,LR,WTFA_A,Poverty,100-199% FPL,AUROC,0.786945542585398,0.7368511530240224,0.8374247908963763,400,400
MEDNG,LR,WTFA_A,Poverty,100-199% FPL,AUPRC,0.40423690814453456,0.3030581318443665,0.5312962161465165,400,400
MEDNG,LR,WTFA_A,Poverty,100-199% FPL,Recall,0.5874898014065127,0.48293852077179394,0.6876194181998065,400,400
MEDNG,LR,WTFA_A,Poverty,100-199% FPL,FNR,0.41251019859348714,0.3123805818001933,0.517061479228206,400,400
MEDNG,LR,WTFA_A,Poverty,100-199% FPL,FPR,0.18945430941390842,0.15839536806798293,0.2180549371159813,400,400
MEDNG,LR,WTFA_A,Poverty,100-199% FPL,Brier,0.08731571071557796,0.07363356733852242,0.10243234044358307,400,400
MEDNG,LR,WTFA_A,Poverty,100-199% FPL,Calibration_abs_error,0.005264961478641916,0.0003874255921766545,0.025859269472636483,400,400
MEDNG,LR,Unweighted,Poverty,>=200% FPL,AUROC,0.8098598828472773,0.7845254108152754,0.8368443697544063,400,400
MEDNG,LR,Unweighted,Poverty,>=200% FPL,AUPRC,0.28915798615056104,0.23948526824846963,0.34450536872445886,400,400
MEDNG,LR,Unweighted,Poverty,>=200% FPL,Recall,0.38396624472573837,0.333298755186722,0.4472716015410016,400,400
MEDNG,LR,Unweighted,Poverty,>=200% FPL,FNR,0.6160337552742616,0.5527283984589983,0.666701244813278,400,400
MEDNG,LR,Unweighted,Poverty,>=200% FPL,FPR,0.05615900161774902,0.049659760633786215,0.06341629101463186,400,400
MEDNG,LR,Unweighted,Poverty,>=200% FPL,Brier,0.042820035555752596,0.038293101740968186,0.04855456439793747,400,400
MEDNG,LR,Unweighted,Poverty,>=200% FPL,Calibration_abs_error,0.003924157224664035,0.0002111405118045893,0.009683538403394216,400,400
MEDNG,LR,WTFA_A,Poverty,>=200% FPL,AUROC,0.7999786822710511,0.7689202735326016,0.8306818969074793,400,400
MEDNG,LR,WTFA_A,Poverty,>=200% FPL,AUPRC,0.27802304447091625,0.21777441771600548,0.34183200816591996,400,400
MEDNG,LR,WTFA_A,Poverty,>=200% FPL,Recall,0.42623739312650855,0.36061018955672247,0.4998641719223469,400,400
MEDNG,LR,WTFA_A,Poverty,>=200% FPL,FNR,0.5737626068734915,0.5001358280776532,0.6393898104432776,400,400
MEDNG,LR,WTFA_A,Poverty,>=200% FPL,FPR,0.07075209005341562,0.06004984134186171,0.0809502882626956,400,400
MEDNG,LR,WTFA_A,Poverty,>=200% FPL,Brier,0.044210344824711784,0.038425675594290366,0.05070339406671414,400,400
MEDNG,LR,WTFA_A,Poverty,>=200% FPL,Calibration_abs_error,0.007282305077764208,0.0008938140331728615,0.014173341571720621,400,400
MEDNG,LR,Unweighted,Insurance,Uninsured,AUROC,0.7317393959321715,0.6750848047724239,0.7844365290674726,400,400
MEDNG,LR,Unweighted,Insurance,Uninsured,AUPRC,0.513065584557025,0.4279762933595822,0.604623527223258,400,400
MEDNG,LR,Unweighted,Insurance,Uninsured,Recall,0.8442622950819673,0.7824691539365453,0.908298206463344,400,400
MEDNG,LR,Unweighted,Insurance,Uninsured,FNR,0.1557377049180328,0.09170179353665593,0.21753084606345463,400,400
MEDNG,LR,Unweighted,Insurance,Uninsured,FPR,0.5845272206303725,0.5290535316323282,0.6366437976437976,400,400
MEDNG,LR,Unweighted,Insurance,Uninsured,Brier,0.16520087614748638,0.14485203864659404,0.18752554457013293,400,400
MEDNG,LR,Unweighted,Insurance,Uninsured,Calibration_abs_error,0.021864412039532877,0.0027400720394312626,0.059475960799872135,400,400
MEDNG,LR,WTFA_A,Insurance,Uninsured,AUROC,0.7574544628117319,0.7013785525899208,0.817438290159725,400,400
MEDNG,LR,WTFA_A,Insurance,Uninsured,AUPRC,0.5184241656933047,0.42097061298091093,0.6397992880211005,400,400
MEDNG,LR,WTFA_A,Insurance,Uninsured,Recall,0.8808703135345298,0.8245220679877,0.9319679425356298,400,400
MEDNG,LR,WTFA_A,Insurance,Uninsured,FNR,0.11912968646547012,0.06803205746437015,0.17547793201229983,400,400
MEDNG,LR,WTFA_A,Insurance,Uninsured,FPR,0.5851604219384688,0.5231820413854221,0.6466350082345039,400,400
MEDNG,LR,WTFA_A,Insurance,Uninsured,Brier,0.16111119162319568,0.1384799599897961,0.1867929780779984,400,400
MEDNG,LR,WTFA_A,Insurance,Uninsured,Calibration_abs_error,0.015586866052253928,0.0011144557021162175,0.0558979659222859,400,400
MEDNG,LR,Unweighted,Insurance,Insured,AUROC,0.7589586730531149,0.7329762715634465,0.7873339205983817,400,400
MEDNG,LR,Unweighted,Insurance,Insured,AUPRC,0.20396488591060685,0.16925805818164197,0.24514794190967354,400,400
MEDNG,LR,Unweighted,Insurance,Insured,Recall,0.28343949044585987,0.23778010719153556,0.32819379594800374,400,400
MEDNG,LR,Unweighted,Insurance,Insured,FNR,0.7165605095541401,0.6718062040519962,0.7622198928084645,400,400
MEDNG,LR,Unweighted,Insurance,Insured,FPR,0.05255656511669339,0.04679841795477703,0.05804910166896822,400,400
MEDNG,LR,Unweighted,Insurance,Insured,Brier,0.046653777939554116,0.04213886384320189,0.051439475503236166,400,400
MEDNG,LR,Unweighted,Insurance,Insured,Calibration_abs_error,0.0013595420168553904,0.00012968116804588044,0.006488584699999067,400,400
MEDNG,LR,WTFA_A,Insurance,Insured,AUROC,0.7490397465213012,0.7184686734661072,0.7807374704473673,400,400
MEDNG,LR,WTFA_A,Insurance,Insured,AUPRC,0.1968416839359609,0.15525476224953896,0.2487900168484549,400,400
MEDNG,LR,WTFA_A,Insurance,Insured,Recall,0.29695398281957336,0.24299672893544455,0.362128609440283,400,400
MEDNG,LR,WTFA_A,Insurance,Insured,FNR,0.7030460171804266,0.6378713905597169,0.7570032710645553,400,400
MEDNG,LR,WTFA_A,Insurance,Insured,FPR,0.059329379116134395,0.05185712651353216,0.06646829593322824,400,400
