Outcome,Model,Probability_version,bin,N,mean_predicted,fraction_positive
MEDDL,RF,Raw,9,642,0.13288838920773346,0.14485981308411214
MEDDL,RF,Raw,10,642,0.2715296648660828,0.3317757009345794
MEDDL,RF,Platt,1,642,0.014238614454407366,0.009345794392523364
MEDDL,RF,Platt,2,642,0.020664219165765087,0.012461059190031152
MEDDL,RF,Platt,3,642,0.028120868805699514,0.020249221183800622
MEDDL,RF,Platt,4,642,0.037793436303378086,0.03426791277258567
MEDDL,RF,Platt,5,642,0.04655475552913007,0.03894080996884735
MEDDL,RF,Platt,6,641,0.055973584039632845,0.0483619344773791
MEDDL,RF,Platt,7,642,0.06757673331943877,0.07476635514018691
MEDDL,RF,Platt,8,642,0.08520134073464135,0.09968847352024922
MEDDL,RF,Platt,9,642,0.14198330102863518,0.14485981308411214
MEDDL,RF,Platt,10,642,0.3133242989222367,0.3317757009345794
MEDDL,XGBoost,Raw,1,642,0.006088658701628447,0.012461059190031152
MEDDL,XGBoost,Raw,2,642,0.012447364628314972,0.010903426791277258
MEDDL,XGBoost,Raw,3,642,0.019261034205555916,0.010903426791277258
MEDDL,XGBoost,Raw,4,642,0.027976691722869873,0.03115264797507788
MEDDL,XGBoost,Raw,5,642,0.03822853043675423,0.029595015576323987
MEDDL,XGBoost,Raw,6,641,0.05060195177793503,0.06396255850234009
MEDDL,XGBoost,Raw,7,642,0.06685753911733627,0.08255451713395638
MEDDL,XGBoost,Raw,8,642,0.09058297425508499,0.08411214953271028
MEDDL,XGBoost,Raw,9,642,0.140184223651886,0.17133956386292834
MEDDL,XGBoost,Raw,10,642,0.33195361495018005,0.3177570093457944
MEDDL,XGBoost,Platt,1,642,0.008880833342498987,0.012461059190031152
MEDDL,XGBoost,Platt,2,642,0.01678719542706517,0.010903426791277258
MEDDL,XGBoost,Platt,3,642,0.02470931011840793,0.010903426791277258
MEDDL,XGBoost,Platt,4,642,0.03436096604058749,0.03115264797507788
MEDDL,XGBoost,Platt,5,642,0.04526197649104259,0.029595015576323987
MEDDL,XGBoost,Platt,6,641,0.05796328385147609,0.06396255850234009
MEDDL,XGBoost,Platt,7,642,0.07409369276116702,0.08255451713395638
MEDDL,XGBoost,Platt,8,642,0.09684110585228431,0.08411214953271028
MEDDL,XGBoost,Platt,9,642,0.14235842593910317,0.17133956386292834
MEDDL,XGBoost,Platt,10,642,0.3100950981408701,0.3177570093457944
