Outcome,Model,Selected_probability,Threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate
MEDDL,LR,Platt,0.15999999999999998,0.7844607680353665,0.3167882812401599,0.42829827915869984,0.32558139534883723,0.3699421965317919,0.921302578018996,0.06514695179923942,0.08147686555538246,0.08170657239235694,0.10718180401931765
MEDDL,XGBoost,Platt,0.13999999999999999,0.803648680377013,0.31516343360512417,0.5200764818355641,0.28601472134595163,0.36906377204884666,0.8848371777476255,0.06491495979853423,0.08147686555538246,0.08113879868972727,0.14815391805577194
MEDDL,RF,Platt,0.07999999999999999,0.7967178383244564,0.3106561299405058,0.6730401529636711,0.2064516129032258,0.31597845601436264,0.7705223880597015,0.06523875118375158,0.08147686555538246,0.0811470363287839,0.26561769746066366
MEDNG,RF,Raw,0.10999999999999999,0.8061850418626533,0.30499003800077684,0.541095890410959,0.2237960339943343,0.3166332665330661,0.8625188158554943,0.05641130620673,0.06825619448340346,0.06763621488491223,0.16503038803179054
MEDNG,XGBoost,Raw,0.18499999999999997,0.808325524419181,0.3049280111390447,0.3995433789954338,0.31645569620253167,0.35317860746720486,0.9367787255393879,0.055263321846723557,0.06825619448340346,0.06828712671995163,0.08617734143680848
MEDNG,LR,Raw,0.13499999999999998,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.27729885057471265,0.3403880070546737,0.9158722194346881,0.055476024339646206,0.06825619448340346,0.06799769042568968,0.10846189808321646
