Outcome,Domain_variable,Domain_value,Domain_N,Positive_N,Unweighted_prevalence,Weighted_prevalence,Taylor_SE,CI95_lower,CI95_upper,Design_df,Approx_design_effect,Kish_effective_N,Weighted_population_total
MEDNG,Overall,All,32354,2195,0.06784323422142548,0.07386546105963274,0.0019954772725898594,0.0699466219648445,0.07778430015442098,610,1.883241685819056,21191.688006752574,257369777.326
MEDDL,Overall,All,32355,2564,0.07924586617215268,0.08579139305967438,0.002197131110047944,0.08147653394867257,0.0901062521706762,610,1.9914266997186654,21194.465522737006,257344539.43
