Outcome,Model,Comparison,Metric,Before,After,Absolute_delta
MEDNG,XGBoost,Training_weighting_effect,Precision,0.3104213124148651,0.29446299936502834,-0.015958313049836748
MEDNG,XGBoost,Training_weighting_effect,F1,0.36331901477959166,0.349613127952488,-0.013705886827103664
MEDNG,XGBoost,Training_weighting_effect,Specificity,0.92594557392572,0.9215419366500794,-0.004403637275640526
MEDNG,XGBoost,Training_weighting_effect,Brier,0.05669796127348241,0.05689857710273367,0.00020061582925125915
MEDNG,XGBoost,Training_weighting_effect,Observed_prevalence,0.07073520223294323,0.07073520223294323,0.0
MEDNG,XGBoost,Training_weighting_effect,Mean_predicted_probability,0.0735903569626868,0.07459762417371571,0.0010072672110289088
MEDNG,XGBoost,Training_weighting_effect,Predicted_positive_rate,0.09979451585237005,0.10333733922734377,0.0035428233749737192
MEDNG,XGBoost,Combined_weighting_effect,AUROC,0.808325524419181,0.8073163143523681,-0.0010092100668129822
MEDNG,XGBoost,Combined_weighting_effect,AUPRC,0.3049280111390447,0.3206530166465005,0.015725005507455758
MEDNG,XGBoost,Combined_weighting_effect,Recall,0.3995433789954338,0.43018217089529237,0.030638791899858575
MEDNG,XGBoost,Combined_weighting_effect,Precision,0.31645569620253167,0.29446299936502834,-0.021992696837503323
MEDNG,XGBoost,Combined_weighting_effect,F1,0.35317860746720486,0.349613127952488,-0.0035654795147168628
MEDNG,XGBoost,Combined_weighting_effect,Specificity,0.9367787255393879,0.9215419366500794,-0.015236788889308461
MEDNG,XGBoost,Combined_weighting_effect,Brier,0.05526331901402843,0.05689857710273367,0.0016352580887052381
MEDNG,XGBoost,Combined_weighting_effect,Observed_prevalence,0.06825619448340346,0.07073520223294323,0.002479007749539769
MEDNG,XGBoost,Combined_weighting_effect,Mean_predicted_probability,0.06828712288989298,0.07459762417371571,0.006310501283822725
MEDNG,XGBoost,Combined_weighting_effect,Predicted_positive_rate,0.08617734143680848,0.10333733922734377,0.017159997790535286
