Outcome,N,Strata_N,PSU_N,Design_df,Min_PSU_per_stratum,Max_PSU_per_stratum,Lonely_strata_N,Weight_sum,Weight_mean,Weight_min,Weight_max,Weight_CV,Kish_effective_N
MEDNG,32354,52,662,610,5,20,0,257369777.326,7954.805505532547,265.078,38138.226,0.7257733457278434,21191.688006752574
MEDDL,32355,52,662,610,5,20,0,257344539.43,7953.779614588163,265.078,38138.226,0.7256680023008659,21194.465522737006
