Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_14,WTFA_A,9,CHRONIC_BURDEN_CAT,0.13732804639347707,5.467514288314553,1930,15348993.286000002
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_14,WTFA_A,10,EMPWRKLSW1_A,0.11928076685595841,4.7489883838983005,1930,15348993.286000002
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_14,WTFA_A,11,DISAB3_A,0.088121241773306,3.5084176987349687,1930,15348993.286000002
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_14,WTFA_A,12,K6SPD_A,0.0739538212769452,2.9443626784627774,1930,15348993.286000002
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,1,NOTCOV_A,0.4206158175088482,15.705696985711166,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,2,FDSCAT3_A,0.4182942469126629,15.619010078569696,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,3,AGEP_A,0.41024263476564443,15.318364750068982,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,4,EDUCP_A,0.26659521297609085,9.954603366183527,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,5,PHSTAT_A,0.245501761772,9.166978794771953,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,6,HISPALLP_A,0.17057465818086293,6.369218139956268,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,7,EMPWRKLSW1_A,0.16207444120477388,6.051822011275386,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,8,CHRONIC_BURDEN_CAT,0.13737058770829194,5.12938585637024,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,9,RATCAT_A,0.1365728196519132,5.099597382335736,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,10,DISAB3_A,0.1334167878805874,4.9817518886229895,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,11,K6SPD_A,0.10938267791567477,4.084323801715064,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,Unweighted,12,SEX_A,0.06746820048785478,2.5192469444189802,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,1,NOTCOV_A,0.46315131838800455,16.94006231706276,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,2,FDSCAT3_A,0.4193566003351004,15.33824186763272,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,3,AGEP_A,0.37194441158818997,13.604110062164871,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,4,EDUCP_A,0.27892527241247733,10.201874223129597,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,5,PHSTAT_A,0.269618425998004,9.8614702299266,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,6,HISPALLP_A,0.1817508789296154,6.64765724075796,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,7,EMPWRKLSW1_A,0.15130044402848006,5.533912673210907,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,8,RATCAT_A,0.14332129671351598,5.2420701427330405,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,9,CHRONIC_BURDEN_CAT,0.138515940192914,5.066311085848512,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,10,K6SPD_A,0.12152953504965347,4.44502221060311,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,11,DISAB3_A,0.11857491521635775,4.336955058223057,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_2,WTFA_A,12,SEX_A,0.07607007922719103,2.7823128887068553,187,1384944.663
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,1,AGEP_A,0.5455463148367169,20.67753408264838,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,2,FDSCAT3_A,0.4216402784349727,15.981193513452583,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,3,NOTCOV_A,0.3308616194389886,12.540461234052271,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,4,PHSTAT_A,0.24861780695480898,9.423220425198933,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,5,EDUCP_A,0.2271228287040657,8.608508395628062,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,6,HISPALLP_A,0.17504814319963433,6.634750980213468,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,7,EMPWRKLSW1_A,0.14908489414638268,5.65068060416193,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,8,CHRONIC_BURDEN_CAT,0.14072157468178506,5.333690426480951,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,9,RATCAT_A,0.12174669689718047,4.614496342615348,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,10,K6SPD_A,0.1186350547587094,4.496557526750561,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,11,DISAB3_A,0.09396365895160179,3.561451535207637,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,Unweighted,12,SEX_A,0.06536400345378622,2.477454933589896,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,1,AGEP_A,0.46624172508138345,17.89618296616988,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,2,FDSCAT3_A,0.41025562654149916,15.747217292072621,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,3,NOTCOV_A,0.38003462295450235,14.587216844837302,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,4,PHSTAT_A,0.26106111655123904,10.020547831359512,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,5,EDUCP_A,0.23770287743032673,9.123967155311208,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,6,HISPALLP_A,0.17521811914413335,6.725557474814626,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,7,CHRONIC_BURDEN_CAT,0.15086923523949983,5.790951973122796,322,2378042.798
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_3,WTFA_A,8,EMPWRKLSW1_A,0.1404111667124105,5.3895303547533455,322,2378042.798
