Outcome,Model,Split,Explained_output,Aggregation,Rank,Encoded_feature,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,37,RATCAT_A=9,RATCAT_A,0.015851516086539747,0.4984775631278393,2.7942240847635307e-06,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,38,HISPALLP_A=7,HISPALLP_A,0.015424903505092307,0.4850620135464227,-0.0007279761241483478,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,39,RATCAT_A=11,RATCAT_A,0.014298398750418091,0.4496371783510842,-3.097078764478599e-05,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,40,RATCAT_A=7,RATCAT_A,0.01284309705458554,0.4038727707705107,-0.001991338749310846,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,41,RATCAT_A=4,RATCAT_A,0.012097237945959011,0.3804179776216988,-0.0006699573171285873,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,42,HISPALLP_A=5,HISPALLP_A,0.01165846451022396,0.3666200095398847,0.0019014208485451977,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,43,SEX_A=2,SEX_A,0.00854356736483575,0.26866683396032914,-0.0007342116663985049,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,44,RATCAT_A=6,RATCAT_A,0.008383587382938373,0.26363599456994696,0.0005713233067334878,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,45,K6SPD_A=Missing,K6SPD_A,0.008067716859118338,0.2537029151018306,-0.0005066889647489976,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,46,CHRONIC_BURDEN_CAT=Missing/indeterminate,CHRONIC_BURDEN_CAT,0.005952097007196774,0.18717369338364795,-0.0006517529171819557,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,47,DISAB3_A=1,DISAB3_A,0.005301464865848567,0.16671347225771402,-0.0003967289169167283,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,48,EDUCP_A=2,EDUCP_A,0.004757108599490995,0.14959527462627692,-0.001623069203989311,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,49,FDSCAT3_A=Missing,FDSCAT3_A,0.004684571394248873,0.14731422030265293,-0.0014359595883139283,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,50,RATCAT_A=1,RATCAT_A,0.004504097216762996,0.1416389064897961,0.0008179241724206813,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,51,HISPALLP_A=3,HISPALLP_A,0.0032243279858944563,0.10139441226687189,0.000869424493119473,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,52,HISPALLP_A=6,HISPALLP_A,0.0025861606352962896,0.08132616743418694,0.0009546975714870506,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,53,PHSTAT_A=3,PHSTAT_A,0.0025636402276592546,0.08061797536862879,0.00021841534236239856,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,54,EDUCP_A=6,EDUCP_A,0.0025590955278397397,0.08047505964505942,2.6541216478839888e-05,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,55,EDUCP_A=3,EDUCP_A,0.0019863565946334144,0.06246432135513923,0.00022544993372630658,6417
MEDNG,LR,locked_test,base_estimator_log_odds,WTFA_A,56,RATCAT_A=12,RATCAT_A,0.0017906758900786428,0.056310812742771915,3.485397909065566e-05,6417
