Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,Unweighted,10,DISAB3_A,0.0869522372728307,3.8362603530204367,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,Unweighted,11,K6SPD_A,0.06373051762543862,2.811737405638133,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,Unweighted,12,HISPALLP_A,0.043016720630076576,1.8978619187488424,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,1,AGEP_A,0.31140717863406325,13.629318553744861,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,2,PHSTAT_A,0.30482376060784505,13.341182930650465,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,3,EMPWRKLSW1_A,0.29924266779305586,13.096915948160106,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,4,RATCAT_A,0.23502870593799793,10.286471611072262,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,5,FDSCAT3_A,0.2314232289425782,10.128671155975754,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,6,EDUCP_A,0.2106452323529731,9.219283210358963,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,7,NOTCOV_A,0.21054353505499307,9.214832237596212,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,8,CHRONIC_BURDEN_CAT,0.1757536919840485,7.692189581352608,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,9,SEX_A,0.11653761021900286,5.100486829282114,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,10,DISAB3_A,0.08188544642183578,3.583869964379584,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,11,K6SPD_A,0.06452529951037851,2.824070612823532,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_2,WTFA_A,12,HISPALLP_A,0.04301672063007659,1.8827073646035435,4242,30279142.281999998
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,1,FDSCAT3_A,0.3577345460575767,14.373854450170251,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,2,PHSTAT_A,0.33533098492097174,13.47367432920642,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,3,EMPWRKLSW1_A,0.30778392511396135,12.366827275826303,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,4,AGEP_A,0.29289174164523274,11.768455997503398,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,5,NOTCOV_A,0.23373697860386303,9.391604325330514,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,6,EDUCP_A,0.22622155690126672,9.089632992465772,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,7,RATCAT_A,0.2143411170173494,8.612274248175137,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,8,CHRONIC_BURDEN_CAT,0.16494439115939968,6.627502702843717,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,9,SEX_A,0.11511723181350282,4.625436243240205,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,10,DISAB3_A,0.08926155207772658,3.5865492212067,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,11,HISPALLP_A,0.08391555917638469,3.371746025087183,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,Unweighted,12,K6SPD_A,0.06750689444736623,2.7124421889444106,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,1,FDSCAT3_A,0.3517567520305036,13.883563324263802,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,2,PHSTAT_A,0.34162449665373334,13.483651145381724,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,3,AGEP_A,0.3196928120180225,12.618024741083818,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,4,EMPWRKLSW1_A,0.29918225425867223,11.808489100832011,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,5,NOTCOV_A,0.2599457641653049,10.2598555872218,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,6,EDUCP_A,0.22773364333974175,8.988468423481553,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,7,RATCAT_A,0.21565888255413965,8.51188707849089,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,8,CHRONIC_BURDEN_CAT,0.16897746984463227,6.669408303947463,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,9,SEX_A,0.11577746452552402,4.569645787846677,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,10,DISAB3_A,0.0851278324535372,3.3599288306582755,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,11,HISPALLP_A,0.08391555917638469,3.312081354490426,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_3,WTFA_A,12,K6SPD_A,0.06422717654794523,2.5349963223015606,670,6129295.214
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,1,HISPALLP_A,0.47921000360646554,17.721528881677614,384,3311289.384
MEDNG,LR,locked_test,base_estimator_log_odds,HISPALLP_A,code_4,Unweighted,2,PHSTAT_A,0.3315475371594314,12.26086519730715,384,3311289.384
