Outcome,Model,Feature_construct,Explained_output,Level,N,Weighted_mean_SHAP,Weighted_mean_abs_SHAP,Weight_sum
MEDDL,LR,EMPWRKLSW1_A,base_estimator_log_odds,code_2,2670,-0.3094486044677002,0.3094486044677002,17857881.336999997
MEDDL,LR,NOTCOV_A,base_estimator_log_odds,Missing/special,19,0.6852113018296289,0.6852113018296289,173199.387
MEDDL,LR,NOTCOV_A,base_estimator_log_odds,code_1,472,1.4833476372090932,1.4833476372090932,4745382.67
MEDDL,LR,NOTCOV_A,base_estimator_log_odds,code_2,5928,-0.09298360139956578,0.09298360139956578,45351602.004999995
MEDDL,LR,FDSCAT3_A,base_estimator_log_odds,Missing/special,231,0.6119319227914533,0.6119319227914533,1866140.906
MEDDL,LR,FDSCAT3_A,base_estimator_log_odds,code_1,5647,-0.14982182926930873,0.14982182926930873,43861264.938999996
MEDDL,LR,FDSCAT3_A,base_estimator_log_odds,code_2,312,0.949718591236885,0.949718591236885,2776281.3880000003
MEDDL,LR,FDSCAT3_A,base_estimator_log_odds,code_3,229,1.2772099982423324,1.2772099982423324,1766496.829
MEDDL,LR,PHSTAT_A,base_estimator_log_odds,Missing/special,3,0.2240073791933077,0.2240073791933077,19857.717
MEDDL,LR,PHSTAT_A,base_estimator_log_odds,code_1,1245,-0.7019864783646957,0.7019864783646957,10907147.961
MEDDL,LR,PHSTAT_A,base_estimator_log_odds,code_2,2066,-0.08117671919334916,0.08117671919334916,16045518.833999999
MEDDL,LR,PHSTAT_A,base_estimator_log_odds,code_3,2013,0.24568596830785805,0.24568596830785805,15656320.524
MEDDL,LR,PHSTAT_A,base_estimator_log_odds,code_4,860,0.46536715014817104,0.46536715014817104,6013706.5370000005
MEDDL,LR,PHSTAT_A,base_estimator_log_odds,code_5,232,0.7439672995646576,0.7439672995646576,1627632.489
MEDDL,LR,DISAB3_A,base_estimator_log_odds,code_1,748,0.3187415412061196,0.3187415412061196,5093352.409
MEDDL,LR,DISAB3_A,base_estimator_log_odds,code_2,5671,-0.04264341388208203,0.04264341388208203,45176831.653000005
MEDDL,LR,K6SPD_A,base_estimator_log_odds,Missing/special,121,-0.1871631362910804,0.1871631362910804,915380.664
MEDDL,LR,K6SPD_A,base_estimator_log_odds,code_1,235,0.8140907877233364,0.8140907877233364,1796026.582
MEDDL,LR,K6SPD_A,base_estimator_log_odds,code_2,6063,-0.028091565929886674,0.028091565929886674,47558776.816
MEDDL,LR,CHRONIC_BURDEN_CAT,base_estimator_log_odds,Missing/special,1218,0.09904376825662847,0.09904376825662847,7403342.901000001
MEDDL,LR,CHRONIC_BURDEN_CAT,base_estimator_log_odds,code_0,2430,-0.21695552252269765,0.21695552252269765,22469902.56
MEDDL,LR,CHRONIC_BURDEN_CAT,base_estimator_log_odds,code_1,1696,0.06134224905634173,0.06134224905634173,13350298.159999998
