Outcome,Model,Split,Explained_output,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,7,RATCAT_A,0.005239515613258613,6.220432385281417,0.00028979873084706285,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,8,DISAB3_A,0.00473544376964872,5.621990649071113,-0.00025201260938466493,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,9,CHRONIC_BURDEN_CAT,0.0026860185628390268,3.188881967155662,0.0002041488046366073,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,10,EDUCP_A,0.0019159131598375896,2.274601155244683,0.00014541152231477053,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,11,SEX_A,0.0018620437798412893,2.2106466104665228,-8.505597135928851e-05,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,12,HISPALLP_A,0.0012635543257739825,1.5001108554228788,0.0001275338648380965,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,1,HISPALLP_A,0.610550237143266,16.71724565091123,-0.610550237143266,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,2,K6SPD_A,0.5714547485622563,15.64678683083256,0.5714547485622563,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,3,NOTCOV_A,0.540775429464973,14.806767971530029,0.540775429464973,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,4,FDSCAT3_A,0.5246363158497565,14.364868991757406,0.5246363158497565,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,5,CHRONIC_BURDEN_CAT,0.3982319290798639,10.903838176549911,0.3982319290798639,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,6,DISAB3_A,0.22819879593117778,6.248225120136189,0.22819879593117778,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,7,RATCAT_A,0.19892068670886107,5.446572259670869,0.19892068670886107,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,8,AGEP_A,0.19878030833919563,5.4427286125031085,-0.05654608919072617,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,9,PHSTAT_A,0.16221473441491605,4.441540430972192,0.15936725157057177,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,10,EDUCP_A,0.09811601994599226,2.6864777178720147,-0.07208829486100544,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,11,EMPWRKLSW1_A,0.0847993787138312,2.3218597893544435,-0.0847993787138312,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,12,SEX_A,0.03553931042464914,0.973088447910044,-0.03553931042464914,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,1,HISPALLP_A,0.6322445435116572,17.42812392496243,-0.6322445435116572,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,2,K6SPD_A,0.5720349976068221,15.76841892906501,0.5720349976068221,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,3,NOTCOV_A,0.5309175045984336,14.634995523536231,0.5309175045984336,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,4,FDSCAT3_A,0.5045911143741972,13.90929595675705,0.5045911143741972,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,5,CHRONIC_BURDEN_CAT,0.3720814216645752,10.256602755207256,0.3720814216645752,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,6,DISAB3_A,0.2361294898066279,6.509022581405935,0.2361294898066279,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,7,AGEP_A,0.2054440698796636,5.663164271255434,-0.057238592159417,6417
