Outcome,Poverty_Group,Imputations,Mean_Valid_N,Min_Valid_N,Max_Valid_N,Mean_Positive_N,Pooled_Unweighted_Prevalence,Pooled_Weighted_Prevalence,Between_Imputation_SD_Weighted,Min_Weighted_Prevalence,Max_Weighted_Prevalence,Note
MEDNG12M_A,<100% FPL,10,3392.7,3371,3415,350.9,0.1034284960210453,0.11121805197307671,0.002080212882550081,0.10742794684672878,0.11385424970119035,MI pooled point estimate = mean of 10 imputation-specific estimates; no Rubin/Taylor CI computed in Day 1–4.
MEDNG12M_A,100–199% FPL,10,5739.7,5704,5775,556,0.09686946093308127,0.10690695854328591,0.0012661854529123278,0.10495534153141899,0.10955400783716931,MI pooled point estimate = mean of 10 imputation-specific estimates; no Rubin/Taylor CI computed in Day 1–4.
MEDNG12M_A,≥200% FPL,10,23221.6,23186,23254,1288.1,0.05546990867298425,0.060833547176309496,0.0003251960025921564,0.06038587400153108,0.06133925442855837,MI pooled point estimate = mean of 10 imputation-specific estimates; no Rubin/Taylor CI computed in Day 1–4.
MEDDL12M_A,<100% FPL,10,3390.3,3369,3411,359.5,0.10603880945071853,0.11506139795736801,0.0026085805714913877,0.11071778857675063,0.11928530335417609,MI pooled point estimate = mean of 10 imputation-specific estimates; no Rubin/Taylor CI computed in Day 1–4.
MEDDL12M_A,100–199% FPL,10,5738.7,5705,5774,595.1,0.10369954295933863,0.11670990657653704,0.0010619019424664593,0.11485551412266647,0.11808054660005687,MI pooled point estimate = mean of 10 imputation-specific estimates; no Rubin/Taylor CI computed in Day 1–4.
MEDDL12M_A,≥200% FPL,10,23226,23191,23258,1609.4,0.06929306122652681,0.07438502790886488,0.00036851827621163687,0.07375248020437539,0.07483799486889584,MI pooled point estimate = mean of 10 imputation-specific estimates; no Rubin/Taylor CI computed in Day 1–4.
