Outcome,Model,Selected_probability,Bin,N,Mean_predicted,Observed_fraction,Min_predicted,Max_predicted
MEDNG,LR,Raw,1,642,0.010257296645117655,0.006230529595015576,0.0014324058130839794,0.013881850307492866
MEDNG,LR,Raw,2,642,0.01681574984170623,0.017133956386292833,0.013904569895317789,0.01939590867004676
MEDNG,LR,Raw,3,641,0.022021318689668647,0.0249609984399376,0.01940491502100056,0.024514524554393735
MEDNG,LR,Raw,4,642,0.027225910887423224,0.017133956386292833,0.024526302471568697,0.030175830265112127
MEDNG,LR,Raw,5,644,0.03333700384799571,0.03260869565217391,0.030178058908944514,0.03670837467537319
MEDNG,LR,Raw,6,639,0.04110416862163111,0.0406885758998435,0.03672716869634497,0.04600003204898657
MEDNG,LR,Raw,7,642,0.05208533828004155,0.059190031152647975,0.04601249732741976,0.059174096130960224
MEDNG,LR,Raw,8,641,0.0695203331815731,0.0717628705148206,0.059181280590973905,0.08250076735581476
MEDNG,LR,Raw,9,642,0.10669106120586462,0.12461059190031153,0.08254127884927194,0.14521337528066192
MEDNG,LR,Raw,10,642,0.30083178704148716,0.2881619937694704,0.14540416073096427,0.9333982762446019
MEDNG,RF,Raw,1,642,0.021585296524957814,0.004672897196261682,0.013977648847806244,0.025396732794683616
MEDNG,RF,Raw,2,642,0.027955805757802012,0.00778816199376947,0.02540592848404315,0.030917959773969547
MEDNG,RF,Raw,3,641,0.03383854472050391,0.014040561622464899,0.030926613349600864,0.03674240449977197
MEDNG,RF,Raw,4,642,0.039404103590337095,0.024922118380062305,0.0367669166903454,0.04176266316711803
MEDNG,RF,Raw,5,642,0.043999838984954256,0.03582554517133956,0.04179802624195405,0.046429096868007495
MEDNG,RF,Raw,6,641,0.04958586714018067,0.0452418096723869,0.046432253956111565,0.053055799483726546
MEDNG,RF,Raw,7,642,0.05666430784399212,0.05451713395638629,0.05305688130502485,0.061218092417726834
MEDNG,RF,Raw,8,641,0.06942871780126518,0.09828393135725429,0.06123456969914264,0.0842003772746845
MEDNG,RF,Raw,9,642,0.11791090522383676,0.10124610591900311,0.08427865205034306,0.1501342851644636
MEDNG,RF,Raw,10,642,0.21591079316940326,0.29595015576323985,0.150173286066534,0.48029203971540835
MEDNG,XGBoost,Raw,1,642,0.004949802532792091,0.001557632398753894,0.0010586309945210814,0.007769246120005846
MEDNG,XGBoost,Raw,2,642,0.010420229285955429,0.012461059190031152,0.0077737546525895596,0.013175644911825657
MEDNG,XGBoost,Raw,3,641,0.016242332756519318,0.0124804992199688,0.013177257031202316,0.01946409046649933
MEDNG,XGBoost,Raw,4,642,0.022910378873348236,0.020249221183800622,0.019491132348775864,0.026200875639915466
MEDNG,XGBoost,Raw,5,642,0.03032982535660267,0.03115264797507788,0.026243029162287712,0.03466308116912842
MEDNG,XGBoost,Raw,6,641,0.04018619284033775,0.0499219968798752,0.034667763859033585,0.04614286124706268
MEDNG,XGBoost,Raw,7,642,0.053437598049640656,0.06074766355140187,0.04614609107375145,0.06151984632015228
MEDNG,XGBoost,Raw,8,641,0.07391156256198883,0.09204368174726989,0.061543483287096024,0.09025207906961441
MEDNG,XGBoost,Raw,9,642,0.12049520760774612,0.11059190031152648,0.0903349369764328,0.16467823088169098
MEDNG,XGBoost,Raw,10,642,0.309872031211853,0.29127725856697817,0.1648218184709549,0.9045467376708984
MEDDL,LR,Platt,1,642,0.014932392787514305,0.017133956386292833,0.0021954497244710885,0.020448764377509986
MEDDL,LR,Platt,2,642,0.02409682177083019,0.017133956386292833,0.02046183250613304,0.027779539961662433
MEDDL,LR,Platt,3,642,0.03137671900895063,0.03582554517133956,0.027808192449630495,0.03485663975064758
MEDDL,LR,Platt,4,642,0.038756491311968164,0.021806853582554516,0.03485742451481898,0.042982478738601004
MEDDL,LR,Platt,5,642,0.04722575792652943,0.03426791277258567,0.043021457855803316,0.051314924809332786
MEDDL,LR,Platt,6,641,0.05682565465980442,0.062402496099843996,0.051340971405967224,0.06283408706069459
MEDDL,LR,Platt,7,642,0.07077710821897329,0.04984423676012461,0.06284173308437035,0.07972596173368737
MEDDL,LR,Platt,8,642,0.09130888258238179,0.08566978193146417,0.07974554584789718,0.10503019847752484
MEDDL,LR,Platt,9,642,0.12971353157307208,0.16043613707165108,0.10503086561003606,0.16820443015510902
MEDDL,LR,Platt,10,642,0.3120136087599742,0.3302180685358255,0.16890992157747498,0.9130225453817273
MEDDL,RF,Platt,1,642,0.014238614454407366,0.009345794392523364,0.007495835530052752,0.017861119441408654
MEDDL,RF,Platt,2,642,0.020664219165765094,0.012461059190031152,0.017862175615700086,0.023795192499461357
MEDDL,RF,Platt,3,642,0.02812086880569952,0.020249221183800622,0.02383375196874954,0.03262649416324341
MEDDL,RF,Platt,4,642,0.0377934363033781,0.03426791277258567,0.03265350965851335,0.04226571347702725
MEDDL,RF,Platt,5,642,0.04655475552913008,0.03894080996884735,0.04229202275973673,0.05139354910986175
MEDDL,RF,Platt,6,641,0.05597358403963285,0.0483619344773791,0.051433099858601894,0.06143451154178324
MEDDL,RF,Platt,7,642,0.06757673331943877,0.07476635514018691,0.06146344543818358,0.07430911386442708
MEDDL,RF,Platt,8,642,0.08520134073464135,0.09968847352024922,0.07433690159269812,0.10080051691820845
MEDDL,RF,Platt,9,642,0.14198330102863516,0.14485981308411214,0.10093020829800019,0.1945897858318061
MEDDL,RF,Platt,10,642,0.3133242989222366,0.3317757009345794,0.19542145025278485,0.7208713854794884
MEDDL,XGBoost,Platt,1,642,0.008880833342498987,0.012461059190031152,0.002247775094832273,0.012901737993243607
MEDDL,XGBoost,Platt,2,642,0.01678719542706517,0.010903426791277258,0.012916286184156118,0.020917509072349114
MEDDL,XGBoost,Platt,3,642,0.02470931011840793,0.010903426791277258,0.020933323686654123,0.02925159508843537
MEDDL,XGBoost,Platt,4,642,0.03436096604058749,0.03115264797507788,0.029255053911621278,0.03958490111708355
MEDDL,XGBoost,Platt,5,642,0.04526197649104259,0.029595015576323987,0.039586316116196195,0.05138931929545213
MEDDL,XGBoost,Platt,6,641,0.05796328385147609,0.06396255850234009,0.051391128619592316,0.06484541750355167
MEDDL,XGBoost,Platt,7,642,0.07409369276116702,0.08255451713395638,0.06492628579497493,0.08401314907425612
MEDDL,XGBoost,Platt,8,642,0.09684110585228431,0.08411214953271028,0.08403961263142315,0.11274238846465331
MEDDL,XGBoost,Platt,9,642,0.14235842593910317,0.17133956386292834,0.11275154303075086,0.1833609476300378
MEDDL,XGBoost,Platt,10,642,0.3100950981408701,0.3177570093457944,0.18347284104920591,0.8393149350694002
