Outcome,Model,AUROC,AUROC_CI95_Lower,AUROC_CI95_Upper,AUPRC,AUPRC_CI95_Lower,AUPRC_CI95_Upper,Bootstrap_reps,Bootstrap_seed,Bootstrap_unit,Survey_design_CI
MEDNG,LR,0.7942410308224905,0.7708035388009707,0.8159991288181601,0.3007181583801104,0.25833668311108204,0.34685500977922906,1000,20260830,locked-test individual row,False
MEDNG,RF,0.8061850418626533,0.7850171840431075,0.8265721552887528,0.30499003800077684,0.26161180019307595,0.3542597973491019,1000,20260830,locked-test individual row,False
MEDNG,XGBoost,0.808325524419181,0.787967444454242,0.8292661043982221,0.3049280111390447,0.2635514463603304,0.3519204097673319,1000,20260830,locked-test individual row,False
MEDDL,LR,0.7844607680353665,0.7613657633176322,0.8056496061435747,0.3167882812401599,0.2781687166961711,0.3591325299048695,1000,20260831,locked-test individual row,False
MEDDL,RF,0.7967178383244564,0.7763404875802015,0.8154407740622063,0.3106561299405058,0.2713343953387372,0.3548252966294929,1000,20260831,locked-test individual row,False
MEDDL,XGBoost,0.803648680377013,0.7830550493338859,0.8214027334822049,0.31516343360512417,0.277408896140285,0.3601147067081394,1000,20260831,locked-test individual row,False
