Outcome,Model,Threshold_F1_min,Threshold_F1_max,Threshold_Recall_min,Threshold_Recall_max,Seed_AUPRC_min,Seed_AUPRC_max,Seed_AUROC_min,Seed_AUROC_max,F1_no_missing,F1_with_missing,Interpretation
MEDDL,LR,0.36814793819930564,0.3886728565587552,0.38260042184359255,0.5385464069697807,0.33654982288707114,0.33654982288707114,0.7803025392116243,0.7803025392116243,0.3964076486496178,0.29977316962850503,Sensitivity range only; no post-test model/seed/threshold selection.
MEDDL,RF,0.2851742479191105,0.3511546569611941,0.6473981589988653,0.8077236631169257,0.33844116646141403,0.34007960668167364,0.7942815151325591,0.795102654229988,0.3250473683692189,0.31140084068643353,Sensitivity range only; no post-test model/seed/threshold selection.
MEDDL,XGBoost,0.3575351598880314,0.37748254402897075,0.45779558429925393,0.621310742318187,0.32787902384825574,0.330548348492425,0.8008188441055762,0.8016429683496495,0.3830479548527757,0.3114764603977034,Sensitivity range only; no post-test model/seed/threshold selection.
MEDNG,LR,0.32570294947881007,0.36031668203021133,0.4455245280810031,0.5406582762695068,0.3173907179532671,0.3173907179532671,0.79674374451312,0.79674374451312,0.3628558754039869,0.2532839101473725,Sensitivity range only; no post-test model/seed/threshold selection.
MEDNG,RF,0.29659361646615406,0.33164122653369454,0.5177355723427954,0.6053695474744796,0.32480251661046206,0.3278958072801355,0.8053991836379963,0.8068667612209391,0.3162787019133283,0.3296341032559445,Sensitivity range only; no post-test model/seed/threshold selection.
MEDNG,XGBoost,0.33887530892976425,0.3633190147795919,0.3652768891612444,0.47865574201312505,0.3151669116424983,0.32066293803483104,0.80905152157792,0.8142465150280975,0.3722238632594246,0.2637377357579649,Sensitivity range only; no post-test model/seed/threshold selection.
