Outcome,Model,Evaluation_weighting,Hyperparameter_source,Selected_probability,Validation_selected_threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Observed_prevalence,Mean_predicted_probability,Predicted_positive_rate
ANY_COST,LR,Unweighted,MEDNG locked Day 8-10; no composite tuning,Raw,0.17499999999999996,0.7835169139065298,0.35212895987115217,0.4316309719934102,0.34933333333333333,0.38614591009579957,0.9159924255465657,0.0733852034320318,0.0946072319201995,0.09226825075991407,0.11689526184538654
ANY_COST,LR,WTFA_A,MEDNG locked Day 8-10; no composite tuning,Raw,0.17499999999999996,0.7879751177986527,0.3904145105312786,0.4767009697807795,0.35885472930962253,0.40946737041837317,0.903504533249565,0.07617376855885478,0.10176808210920885,0.09952638658693316,0.13518825160120024
ANY_COST,RF,Unweighted,MEDNG locked Day 8-10; no composite tuning,Raw,0.11499999999999999,0.7917015379475636,0.3508448437089902,0.5535420098846787,0.2696629213483146,0.3626551538046411,0.8433465312446204,0.07512858377475908,0.0946072319201995,0.09218184011752276,0.19420199501246882
ANY_COST,RF,WTFA_A,MEDNG locked Day 8-10; no composite tuning,Raw,0.11499999999999999,0.7973431727160032,0.39318754111710114,0.6119709954661379,0.28249316561526167,0.3865501409580115,0.8238948556556486,0.07886633520701102,0.10176808210920885,0.09857693784918897,0.22046237606991362
ANY_COST,XGBoost,Unweighted,MEDNG locked Day 8-10; no composite tuning,Platt,0.15499999999999997,0.8013759255010475,0.3558590293538381,0.556836902800659,0.3015165031222123,0.3912037037037037,0.8652091582027888,0.07277169640353967,0.0946072319201995,0.10059368001240382,0.17471945137157108
ANY_COST,XGBoost,WTFA_A,MEDNG locked Day 8-10; no composite tuning,Platt,0.15499999999999997,0.8058039078882484,0.38246137166783006,0.5903564379525181,0.3103869519136636,0.40686157096509523,0.851392946097599,0.07633613900277587,0.10176808210920885,0.10690113617591408,0.19356304149010575
