Outcome,Model,Selected_probability,Locked_threshold,Unweighted_AUROC,Unweighted_AUPRC,Unweighted_Recall,Unweighted_Precision,Unweighted_F1,Unweighted_Specificity,Unweighted_Brier,WTFA_A_AUROC,WTFA_A_AUPRC,WTFA_A_Recall,WTFA_A_Precision,WTFA_A_F1,WTFA_A_Specificity,WTFA_A_Brier
MEDDL,LR,Platt,0.1599999999999999,0.7844607680353665,0.3167882812401599,0.4282982791586998,0.3255813953488372,0.3699421965317919,0.921302578018996,0.0651469517992394,0.7803025392116243,0.3365498228870711,0.4648913762657525,0.333925992755898,0.3886728565587553,0.9096322759116768,0.0697760468641541
MEDDL,RF,Platt,0.0799999999999999,0.7967178383244564,0.3106561299405058,0.6730401529636711,0.2064516129032258,0.3159784560143626,0.7705223880597015,0.0652387511837515,0.795102654229988,0.3385670454804884,0.6985159272316318,0.2106267296095568,0.3236590522419765,0.7448856787154742,0.0696813367387434
MEDDL,XGBoost,Platt,0.1399999999999999,0.803648680377013,0.3151634336051241,0.5200764818355641,0.2860147213459516,0.3690637720488466,0.8848371777476255,0.0649149597985342,0.8016429683496495,0.3293002511560881,0.5325850030682555,0.2923443467382042,0.3774825440289709,0.8743663990590675,0.0699330141731687
MEDNG,LR,Raw,0.1349999999999999,0.7942410308224905,0.3007181583801104,0.4406392694063927,0.2772988505747126,0.3403880070546737,0.915872219434688,0.0554760243396462,0.79674374451312,0.3173907179532671,0.495535857670429,0.2747799082397377,0.3535259267069432,0.9004466099847556,0.0564237594995911
MEDNG,RF,Raw,0.1099999999999999,0.8061850418626533,0.3049900380007768,0.541095890410959,0.2237960339943343,0.3166332665330661,0.8625188158554943,0.05641130620673,0.8064529218651224,0.3277842756105703,0.5832320139759648,0.2179550047283107,0.3173250025179301,0.840704919454789,0.0576476188828997
MEDNG,XGBoost,Raw,0.1849999999999999,0.808325524419181,0.3049280111390447,0.3995433789954338,0.3164556962025316,0.3531786074672048,0.936778725539388,0.0552633218467235,0.80905152157792,0.3151669116424983,0.4379480598738057,0.3104213124148651,0.3633190147795916,0.92594557392572,0.0566979612734824
