Outcome,Model,Evaluation_weighting,Selected_probability,Locked_threshold,Axis,Group,N,Positive_N,Negative_N,FN_weighted_count,FP_weighted_count,FNR,FPR,Share_of_all_FN,Share_of_all_FP,Eligibility_rule,Interpretation_boundary
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,Sex,Male,2958,179,2779,727032.068,1947406.134,0.4839032439550394,0.08408494918058164,0.40546425370232697,0.41891499002115007,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,Sex,Female,3458,259,3199,1066053.417,2696672.6100000003,0.5195183907975441,0.11460155599681451,0.594535746297673,0.580092955334431,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,Age,18-34,1295,114,1181,470731.942,2143754.815,0.40492232638958714,0.16547573304844262,0.26252621302101503,0.4611524074276729,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,Age,35-49,1422,131,1291,531151.675,1417514.436,0.465583018792521,0.12408170877895774,0.2962221709133963,0.30492768583000474,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,Age,50-64,1524,146,1378,595337.986,847940.361,0.5875865733042983,0.07917498206477891,0.33201874142659743,0.18240413320319007,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,LR,WTFA_A,Raw,0.1349999999999999,Age,65-74,1166,34,1132,146960.69400000002,151536.339,0.7929131916090068,0.024490283542548546,0.08195966964731748,0.032597639923027284,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Race_ethnicity,Hispanic,935,81,854,18.0,252.0,0.2222222222222222,0.29508196721311475,0.08955223880597014,0.30656934306569344,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Race_ethnicity,NH White,4242,278,3964,149.0,388.0,0.5359712230215827,0.09788092835519677,0.7412935323383084,0.4720194647201946,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Race_ethnicity,NH Black,670,46,624,21.0,117.0,0.45652173913043476,0.1875,0.1044776119402985,0.14233576642335766,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Poverty,<100% FPL,697,80,617,30.0,208.0,0.375,0.3371150729335494,0.14925373134328357,0.25304136253041365,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Poverty,100-199% FPL,1156,121,1035,33.0,261.0,0.2727272727272727,0.25217391304347825,0.16417910447761194,0.3175182481751825,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Poverty,>=200% FPL,4564,237,4327,138.0,353.0,0.5822784810126582,0.0815807718973885,0.6865671641791045,0.42944038929440387,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Insurance,Uninsured,471,122,349,0.0,342.0,0.0,0.9799426934097422,0.0,0.41605839416058393,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Insurance,Insured,5927,314,5613,201.0,473.0,0.6401273885350318,0.08426866203456262,1.0,0.5754257907542579,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Sex,Male,2958,179,2779,85.0,365.0,0.4748603351955307,0.13134220942785174,0.4228855721393035,0.4440389294403893,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Sex,Female,3458,259,3199,116.0,456.0,0.44787644787644787,0.14254454517036574,0.5771144278606966,0.5547445255474452,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Age,18-34,1295,114,1181,42.0,274.0,0.3684210526315789,0.23200677392040644,0.208955223880597,0.3333333333333333,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Age,35-49,1422,131,1291,55.0,241.0,0.4198473282442748,0.18667699457784662,0.2736318407960199,0.29318734793187345,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Age,50-64,1524,146,1378,72.0,218.0,0.4931506849315068,0.15820029027576196,0.3582089552238806,0.26520681265206814,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,Unweighted,Raw,0.1099999999999999,Age,65-74,1166,34,1132,23.0,61.0,0.6764705882352942,0.053886925795053005,0.11442786069651742,0.07420924574209246,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Race_ethnicity,Hispanic,935,81,854,175085.09600000002,2629827.575,0.19798372606439157,0.32113692691846274,0.11819092567799139,0.35354958489687527,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Race_ethnicity,NH White,4242,278,3964,1081999.376,3030537.7960000006,0.5278018072046738,0.10735497803139521,0.7304020202407693,0.40742039135021674,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Race_ethnicity,NH Black,670,46,624,152818.98699999996,1216883.91,0.4024540415414065,0.211647541178268,0.10316022292784376,0.1635958210105035,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Poverty,<100% FPL,697,80,617,179349.19499999995,1726149.6,0.30131352909479775,0.37476166434107294,0.12106939917177517,0.2320606416753035,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Poverty,100-199% FPL,1156,121,1035,244970.127,2237525.2630000003,0.24018475110897242,0.2951297312133624,0.1653667087322219,0.30080912355249056,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Poverty,>=200% FPL,4564,237,4327,1057055.792,3474680.8510000003,0.5450742450015117,0.10069215121507644,0.7135638920960028,0.46713023477220605,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Insurance,Uninsured,471,122,349,0.0,3435435.984,0.0,0.9748966276745208,0.0,0.4618542210254937,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Insurance,Insured,5927,314,5613,1481375.114,3939787.185,0.6412700822306336,0.09156585145486874,1.0,0.5296583460757037,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Sex,Male,2958,179,2779,588204.368,3571475.143,0.3915013027784681,0.1542088733601912,0.39706645699733284,0.48014309617890377,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Sex,Female,3458,259,3199,893170.746,3862268.8159999996,0.43526770916898827,0.1641363561710127,0.6029335430026672,0.519236907255011,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Age,18-34,1295,114,1181,409990.05199999997,2940520.692,0.352672319084792,0.22697783050941567,0.27676315615492375,0.39531864367087727,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Age,35-49,1422,131,1291,459907.7089999999,2310589.0640000002,0.40313384970907273,0.20225673338193262,0.31045999399717195,0.310631697762337,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDNG,RF,WTFA_A,Raw,0.1099999999999999,Age,50-64,1524,146,1378,462069.23199999996,1687633.7719999999,0.45605300357943024,0.15757991926747683,0.31191912678506084,0.22688263870248138,PASS,Group-level aggregate; do not use for individual micro-targeting.
