Outcome,Split,N,Positive_N,Positive_rate,WTFA_weighted_prevalence
MEDNG,train,22711,1524,0.06710404649729206,0.07324659320089243
MEDNG,validation,3226,233,0.0722256664600124,0.08450448616889399
MEDNG,test,6417,438,0.06825619448340346,0.07073520223294323
MEDDL,train,22711,1761,0.0775395182950993,0.08379834179976275
MEDDL,validation,3225,280,0.08682170542635659,0.09411396366353726
MEDDL,test,6419,523,0.08147686555538246,0.08879820015169453
