Outcome,Model,Train_weighting,Evaluation_weighting,Threshold,AUROC,AUPRC,Recall,Precision,F1,Specificity,Brier,Predicted_positive_rate,Mean_predicted_probability,Observed_prevalence
MEDNG,XGBoost,Unweighted,Unweighted,0.5,0.809366458403499,0.30805685879910294,0.07990867579908675,0.5645161290322581,0.14,0.9954841946813848,0.055110733956098557,0.00966183574879227,0.06810256838798523,0.06825619448340346
MEDNG,XGBoost,WTFA_A,WTFA_A,0.5,0.809834389410912,0.3224118355773952,0.10406111821588895,0.6226982263869238,0.17832223068088027,0.9952005019415473,0.05666611764036833,0.011820788834258494,0.07430937790425181,0.07073520223294323
MEDDL,XGBoost,Unweighted,Unweighted,0.5,0.8059826346280072,0.31852548758971816,0.08030592734225621,0.5753424657534246,0.14093959731543623,0.9947421981004071,0.06472616642713547,0.011372487926468297,0.0784786120057106,0.08147686555538246
MEDDL,LR,WTFA_A,WTFA_A,0.5,0.7791668726410361,0.3368401338554485,0.09670918133037654,0.5421466229755142,0.16413893625324563,0.992040844933889,0.0697714031116208,0.015839997661793323,0.08434651601726041,0.08879820015169453
